@relation 'AirQualityUCI all numeric - custer-weka.filters.unsupervised.attribute.Remove-R16-weka.filters.unsupervised.attribute.Discretize-B12-M-1.0-R1-weka.filters.unsupervised.attribute.Discretize-O-B30-M-1.0-R3-last'

@attribute Date {'\'(-inf-1.916667]\'','\'(1.916667-2.833333]\'','\'(2.833333-3.75]\'','\'(3.75-4.666667]\'','\'(4.666667-5.583333]\'','\'(5.583333-6.5]\'','\'(6.5-7.416667]\'','\'(7.416667-8.333333]\'','\'(8.333333-9.25]\'','\'(9.25-10.166667]\'','\'(10.166667-11.083333]\'','\'(11.083333-inf)\''}
@attribute Time numeric
@attribute CO(GT) {'\'(-inf-0.493333]\'','\'(0.493333-0.886667]\'','\'(0.886667-1.28]\'','\'(1.28-1.673333]\'','\'(1.673333-2.066667]\'','\'(2.066667-2.46]\'','\'(2.46-2.853333]\'','\'(2.853333-3.246667]\'','\'(3.246667-3.64]\'','\'(3.64-4.033333]\'','\'(4.033333-4.426667]\'','\'(4.426667-4.82]\'','\'(4.82-inf)\''}
@attribute PT08S1(CO) {'\'(-inf-693.433333]\'','\'(693.433333-739.866667]\'','\'(739.866667-786.3]\'','\'(786.3-832.733333]\'','\'(832.733333-879.166667]\'','\'(879.166667-925.6]\'','\'(925.6-972.033333]\'','\'(972.033333-1018.466667]\'','\'(1018.466667-1064.9]\'','\'(1064.9-1111.333333]\'','\'(1111.333333-1157.766667]\'','\'(1157.766667-1204.2]\'','\'(1204.2-1250.633333]\'','\'(1250.633333-1297.066667]\'','\'(1297.066667-1343.5]\'','\'(1343.5-1389.933333]\'','\'(1389.933333-1436.366667]\'','\'(1436.366667-1482.8]\'','\'(1482.8-1529.233333]\'','\'(1529.233333-1575.666667]\'','\'(1575.666667-1622.1]\'','\'(1622.1-1668.533333]\'','\'(1668.533333-1714.966667]\'','\'(1714.966667-1761.4]\'','\'(1761.4-1807.833333]\'','\'(1807.833333-1854.266667]\'','\'(1854.266667-inf)\''}
@attribute NMHC(GT) {'\'(-inf-46.4]\'','\'(46.4-85.8]\'','\'(85.8-125.2]\'','\'(125.2-164.6]\'','\'(164.6-204]\'','\'(204-243.4]\'','\'(243.4-282.8]\'','\'(282.8-322.2]\'','\'(322.2-361.6]\'','\'(361.6-401]\'','\'(401-440.4]\'','\'(440.4-479.8]\'','\'(479.8-inf)\''}
@attribute C6H6(GT) {'\'(-inf-2.22]\'','\'(2.22-4.34]\'','\'(4.34-6.46]\'','\'(6.46-8.58]\'','\'(8.58-inf)\''}
@attribute PT08S2(NMHC) {'\'(-inf-444.033333]\'','\'(444.033333-505.066667]\'','\'(505.066667-566.1]\'','\'(566.1-627.133333]\'','\'(627.133333-688.166667]\'','\'(688.166667-749.2]\'','\'(749.2-810.233333]\'','\'(810.233333-inf)\''}
@attribute NOx(GT) {'\'(-inf-51.233333]\'','\'(51.233333-100.466667]\'','\'(100.466667-149.7]\'','\'(149.7-198.933333]\'','\'(198.933333-248.166667]\'','\'(248.166667-297.4]\'','\'(297.4-346.633333]\'','\'(346.633333-395.866667]\'','\'(395.866667-445.1]\'','\'(445.1-494.333333]\'','\'(494.333333-543.566667]\'','\'(543.566667-592.8]\'','\'(592.8-642.033333]\'','\'(642.033333-691.266667]\'','\'(691.266667-740.5]\'','\'(740.5-inf)\''}
@attribute PT08S3(NOx) {'\'(-inf-400.7]\'','\'(400.7-479.4]\'','\'(479.4-558.1]\'','\'(558.1-636.8]\'','\'(636.8-715.5]\'','\'(715.5-794.2]\'','\'(794.2-872.9]\'','\'(872.9-951.6]\'','\'(951.6-1030.3]\'','\'(1030.3-1109]\'','\'(1109-1187.7]\'','\'(1187.7-inf)\''}
@attribute NO2(GT) {'\'(-inf-13.266667]\'','\'(13.266667-24.533333]\'','\'(24.533333-35.8]\'','\'(35.8-47.066667]\'','\'(47.066667-58.333333]\'','\'(58.333333-69.6]\'','\'(69.6-80.866667]\'','\'(80.866667-92.133333]\'','\'(92.133333-103.4]\'','\'(103.4-114.666667]\'','\'(114.666667-125.933333]\'','\'(125.933333-137.2]\'','\'(137.2-148.466667]\'','\'(148.466667-159.733333]\'','\'(159.733333-171]\'','\'(171-182.266667]\'','\'(182.266667-193.533333]\'','\'(193.533333-204.8]\'','\'(204.8-216.066667]\'','\'(216.066667-227.333333]\'','\'(227.333333-238.6]\'','\'(238.6-249.866667]\'','\'(249.866667-261.133333]\'','\'(261.133333-272.4]\'','\'(272.4-283.666667]\'','\'(283.666667-294.933333]\'','\'(294.933333-306.2]\'','\'(306.2-317.466667]\'','\'(317.466667-inf)\''}
@attribute PT08S4(NO2) {'\'(-inf-625.133333]\'','\'(625.133333-699.266667]\'','\'(699.266667-773.4]\'','\'(773.4-847.533333]\'','\'(847.533333-921.666667]\'','\'(921.666667-995.8]\'','\'(995.8-1069.933333]\'','\'(1069.933333-1144.066667]\'','\'(1144.066667-1218.2]\'','\'(1218.2-1292.333333]\'','\'(1292.333333-1366.466667]\'','\'(1366.466667-1440.6]\'','\'(1440.6-1514.733333]\'','\'(1514.733333-1588.866667]\'','\'(1588.866667-1663]\'','\'(1663-1737.133333]\'','\'(1737.133333-1811.266667]\'','\'(1811.266667-1885.4]\'','\'(1885.4-1959.533333]\'','\'(1959.533333-2033.666667]\'','\'(2033.666667-2107.8]\'','\'(2107.8-2181.933333]\'','\'(2181.933333-2256.066667]\'','\'(2256.066667-2330.2]\'','\'(2330.2-2404.333333]\'','\'(2404.333333-2478.466667]\'','\'(2478.466667-inf)\''}
@attribute PT08S5(O3) {'\'(-inf-297.733333]\'','\'(297.733333-374.466667]\'','\'(374.466667-451.2]\'','\'(451.2-527.933333]\'','\'(527.933333-604.666667]\'','\'(604.666667-681.4]\'','\'(681.4-758.133333]\'','\'(758.133333-834.866667]\'','\'(834.866667-911.6]\'','\'(911.6-988.333333]\'','\'(988.333333-1065.066667]\'','\'(1065.066667-1141.8]\'','\'(1141.8-1218.533333]\'','\'(1218.533333-1295.266667]\'','\'(1295.266667-1372]\'','\'(1372-1448.733333]\'','\'(1448.733333-1525.466667]\'','\'(1525.466667-1602.2]\'','\'(1602.2-1678.933333]\'','\'(1678.933333-1755.666667]\'','\'(1755.666667-1832.4]\'','\'(1832.4-1909.133333]\'','\'(1909.133333-1985.866667]\'','\'(1985.866667-2062.6]\'','\'(2062.6-2139.333333]\'','\'(2139.333333-2216.066667]\'','\'(2216.066667-2292.8]\'','\'(2292.8-2369.533333]\'','\'(2369.533333-inf)\''}
@attribute T {'\'(-inf--0.35]\'','\'(-0.35-1.2]\'','\'(1.2-2.75]\'','\'(2.75-4.3]\'','\'(4.3-5.85]\'','\'(5.85-7.4]\'','\'(7.4-8.95]\'','\'(8.95-10.5]\'','\'(10.5-12.05]\'','\'(12.05-13.6]\'','\'(13.6-15.15]\'','\'(15.15-16.7]\'','\'(16.7-18.25]\'','\'(18.25-19.8]\'','\'(19.8-21.35]\'','\'(21.35-22.9]\'','\'(22.9-24.45]\'','\'(24.45-26]\'','\'(26-27.55]\'','\'(27.55-29.1]\'','\'(29.1-30.65]\'','\'(30.65-32.2]\'','\'(32.2-33.75]\'','\'(33.75-35.3]\'','\'(35.3-36.85]\'','\'(36.85-38.4]\'','\'(38.4-39.95]\'','\'(39.95-inf)\''}
@attribute RH {'\'(-inf-11.85]\'','\'(11.85-14.5]\'','\'(14.5-17.15]\'','\'(17.15-19.8]\'','\'(19.8-22.45]\'','\'(22.45-25.1]\'','\'(25.1-27.75]\'','\'(27.75-30.4]\'','\'(30.4-33.05]\'','\'(33.05-35.7]\'','\'(35.7-38.35]\'','\'(38.35-41]\'','\'(41-43.65]\'','\'(43.65-46.3]\'','\'(46.3-48.95]\'','\'(48.95-51.6]\'','\'(51.6-54.25]\'','\'(54.25-56.9]\'','\'(56.9-59.55]\'','\'(59.55-62.2]\'','\'(62.2-64.85]\'','\'(64.85-67.5]\'','\'(67.5-70.15]\'','\'(70.15-72.8]\'','\'(72.8-75.45]\'','\'(75.45-78.1]\'','\'(78.1-inf)\''}
@attribute AH numeric

@data
'\'(4.666667-5.583333]\'',10,'\'(2.066667-2.46]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(1372-1448.733333]\'','\'(24.45-26]\'','\'(25.1-27.75]\'',0.86
'\'(4.666667-5.583333]\'',11,'\'(1.673333-2.066667]\'','\'(1111.333333-1157.766667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(794.2-872.9]\'','\'(92.133333-103.4]\'','\'(1588.866667-1663]\'','\'(1065.066667-1141.8]\'','\'(26-27.55]\'','\'(22.45-25.1]\'',0.82
'\'(4.666667-5.583333]\'',12,'\'(2.46-2.853333]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1663-1737.133333]\'','\'(1141.8-1218.533333]\'','\'(29.1-30.65]\'','\'(19.8-22.45]\'',0.83
'\'(4.666667-5.583333]\'',13,'\'(2.853333-3.246667]\'','\'(1250.633333-1297.066667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(715.5-794.2]\'','\'(125.933333-137.2]\'','\'(1737.133333-1811.266667]\'','\'(1141.8-1218.533333]\'','\'(30.65-32.2]\'','\'(17.15-19.8]\'',0.84
'\'(4.666667-5.583333]\'',14,'\'(1.673333-2.066667]\'','\'(1157.766667-1204.2]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(794.2-872.9]\'','\'(103.4-114.666667]\'','\'(1588.866667-1663]\'','\'(911.6-988.333333]\'','\'(29.1-30.65]\'','\'(19.8-22.45]\'',0.87
'\'(4.666667-5.583333]\'',15,'\'(2.066667-2.46]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(715.5-794.2]\'','\'(125.933333-137.2]\'','\'(1588.866667-1663]\'','\'(988.333333-1065.066667]\'','\'(30.65-32.2]\'','\'(17.15-19.8]\'',0.9
'\'(4.666667-5.583333]\'',16,'\'(1.673333-2.066667]\'','\'(1157.766667-1204.2]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(51.233333-100.466667]\'','\'(794.2-872.9]\'','\'(103.4-114.666667]\'','\'(1514.733333-1588.866667]\'','\'(758.133333-834.866667]\'','\'(30.65-32.2]\'','\'(17.15-19.8]\'',0.9
'\'(4.666667-5.583333]\'',17,'\'(2.853333-3.246667]\'','\'(1343.5-1389.933333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(636.8-715.5]\'','\'(125.933333-137.2]\'','\'(1811.266667-1885.4]\'','\'(1141.8-1218.533333]\'','\'(30.65-32.2]\'','\'(19.8-22.45]\'',0.9
'\'(4.666667-5.583333]\'',18,'\'(4.033333-4.426667]\'','\'(1436.366667-1482.8]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(636.8-715.5]\'','\'(159.733333-171]\'','\'(1959.533333-2033.666667]\'','\'(1372-1448.733333]\'','\'(26-27.55]\'','\'(22.45-25.1]\'',0.89
'\'(4.666667-5.583333]\'',19,'\'(4.426667-4.82]\'','\'(1436.366667-1482.8]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(558.1-636.8]\'','\'(159.733333-171]\'','\'(2033.666667-2107.8]\'','\'(1525.466667-1602.2]\'','\'(24.45-26]\'','\'(25.1-27.75]\'',0.88
'\'(4.666667-5.583333]\'',20,'\'(3.246667-3.64]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(715.5-794.2]\'','\'(125.933333-137.2]\'','\'(1737.133333-1811.266667]\'','\'(1218.533333-1295.266667]\'','\'(22.9-24.45]\'','\'(27.75-30.4]\'',0.86
'\'(4.666667-5.583333]\'',21,'\'(2.066667-2.46]\'','\'(1157.766667-1204.2]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(794.2-872.9]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(1141.8-1218.533333]\'','\'(21.35-22.9]\'','\'(33.05-35.7]\'',0.88
'\'(4.666667-5.583333]\'',22,'\'(0.886667-1.28]\'','\'(1064.9-1111.333333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(51.233333-100.466667]\'','\'(872.9-951.6]\'','\'(69.6-80.866667]\'','\'(1514.733333-1588.866667]\'','\'(911.6-988.333333]\'','\'(19.8-21.35]\'','\'(35.7-38.35]\'',0.9
'\'(4.666667-5.583333]\'',23,'\'(1.673333-2.066667]\'','\'(1064.9-1111.333333]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(872.9-951.6]\'','\'(92.133333-103.4]\'','\'(1440.6-1514.733333]\'','\'(911.6-988.333333]\'','\'(19.8-21.35]\'','\'(38.35-41]\'',0.9
'\'(4.666667-5.583333]\'',0,'\'(0.886667-1.28]\'','\'(1064.9-1111.333333]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(51.233333-100.466667]\'','\'(794.2-872.9]\'','\'(80.866667-92.133333]\'','\'(1514.733333-1588.866667]\'','\'(988.333333-1065.066667]\'','\'(18.25-19.8]\'','\'(41-43.65]\'',0.95
'\'(4.666667-5.583333]\'',1,'\'(0.493333-0.886667]\'','\'(925.6-972.033333]\'',?,'\'(2.22-4.34]\'','\'(688.166667-749.2]\'','\'(-inf-51.233333]\'','\'(951.6-1030.3]\'','\'(58.333333-69.6]\'','\'(1366.466667-1440.6]\'','\'(834.866667-911.6]\'','\'(18.25-19.8]\'','\'(41-43.65]\'',0.96
'\'(4.666667-5.583333]\'',2,'\'(0.493333-0.886667]\'','\'(879.166667-925.6]\'',?,'\'(2.22-4.34]\'','\'(627.133333-688.166667]\'','\'(-inf-51.233333]\'','\'(1030.3-1109]\'','\'(58.333333-69.6]\'','\'(1366.466667-1440.6]\'','\'(758.133333-834.866667]\'','\'(18.25-19.8]\'','\'(43.65-46.3]\'',0.96
'\'(4.666667-5.583333]\'',3,'\'(-inf-0.493333]\'','\'(832.733333-879.166667]\'',?,'\'(-inf-2.22]\'','\'(566.1-627.133333]\'',?,'\'(1187.7-inf)\'',?,'\'(1292.333333-1366.466667]\'','\'(604.666667-681.4]\'','\'(18.25-19.8]\'','\'(43.65-46.3]\'',0.95
'\'(4.666667-5.583333]\'',4,?,'\'(832.733333-879.166667]\'',?,'\'(-inf-2.22]\'','\'(566.1-627.133333]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(47.066667-58.333333]\'','\'(1292.333333-1366.466667]\'','\'(604.666667-681.4]\'','\'(15.15-16.7]\'','\'(48.95-51.6]\'',0.95
'\'(4.666667-5.583333]\'',5,'\'(-inf-0.493333]\'','\'(832.733333-879.166667]\'',?,'\'(-inf-2.22]\'','\'(566.1-627.133333]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(35.8-47.066667]\'','\'(1292.333333-1366.466667]\'','\'(604.666667-681.4]\'','\'(16.7-18.25]\'','\'(48.95-51.6]\'',0.95
'\'(4.666667-5.583333]\'',6,'\'(0.493333-0.886667]\'','\'(972.033333-1018.466667]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(-inf-51.233333]\'','\'(951.6-1030.3]\'','\'(47.066667-58.333333]\'','\'(1440.6-1514.733333]\'','\'(758.133333-834.866667]\'','\'(15.15-16.7]\'','\'(51.6-54.25]\'',0.96
'\'(4.666667-5.583333]\'',7,'\'(2.853333-3.246667]\'','\'(1389.933333-1436.366667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(558.1-636.8]\'','\'(92.133333-103.4]\'','\'(2033.666667-2107.8]\'','\'(1448.733333-1525.466667]\'','\'(15.15-16.7]\'','\'(51.6-54.25]\'',0.99
'\'(4.666667-5.583333]\'',8,'\'(4.82-inf)\'','\'(1714.966667-1761.4]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(297.4-346.633333]\'','\'(479.4-558.1]\'','\'(148.466667-159.733333]\'','\'(2478.466667-inf)\'','\'(1985.866667-2062.6]\'','\'(18.25-19.8]\'','\'(46.3-48.95]\'',0.99
'\'(4.666667-5.583333]\'',9,'\'(4.426667-4.82]\'','\'(1436.366667-1482.8]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(558.1-636.8]\'','\'(159.733333-171]\'','\'(1959.533333-2033.666667]\'','\'(1678.933333-1755.666667]\'','\'(19.8-21.35]\'','\'(41-43.65]\'',1.01
'\'(4.666667-5.583333]\'',10,'\'(2.46-2.853333]\'','\'(1250.633333-1297.066667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(715.5-794.2]\'','\'(125.933333-137.2]\'','\'(1663-1737.133333]\'','\'(1295.266667-1372]\'','\'(26-27.55]\'','\'(27.75-30.4]\'',0.98
'\'(4.666667-5.583333]\'',11,'\'(2.066667-2.46]\'','\'(1111.333333-1157.766667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(794.2-872.9]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(1065.066667-1141.8]\'','\'(27.55-29.1]\'','\'(25.1-27.75]\'',0.97
'\'(4.666667-5.583333]\'',12,'\'(1.673333-2.066667]\'','\'(1157.766667-1204.2]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(794.2-872.9]\'','\'(103.4-114.666667]\'','\'(1663-1737.133333]\'','\'(911.6-988.333333]\'','\'(29.1-30.65]\'','\'(19.8-22.45]\'',0.93
'\'(4.666667-5.583333]\'',13,'\'(2.066667-2.46]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1737.133333-1811.266667]\'','\'(988.333333-1065.066667]\'','\'(30.65-32.2]\'','\'(22.45-25.1]\'',1.01
'\'(4.666667-5.583333]\'',14,'\'(2.066667-2.46]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1663-1737.133333]\'','\'(834.866667-911.6]\'','\'(30.65-32.2]\'','\'(22.45-25.1]\'',1
'\'(4.666667-5.583333]\'',15,'\'(2.066667-2.46]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1663-1737.133333]\'','\'(834.866667-911.6]\'','\'(30.65-32.2]\'','\'(19.8-22.45]\'',0.96
'\'(4.666667-5.583333]\'',16,'\'(2.46-2.853333]\'','\'(1250.633333-1297.066667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(715.5-794.2]\'','\'(125.933333-137.2]\'','\'(1737.133333-1811.266667]\'','\'(911.6-988.333333]\'','\'(29.1-30.65]\'','\'(22.45-25.1]\'',1.05
'\'(4.666667-5.583333]\'',17,'\'(3.246667-3.64]\'','\'(1343.5-1389.933333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(636.8-715.5]\'','\'(148.466667-159.733333]\'','\'(1885.4-1959.533333]\'','\'(1141.8-1218.533333]\'','\'(27.55-29.1]\'','\'(25.1-27.75]\'',1.03
'\'(4.666667-5.583333]\'',18,'\'(4.033333-4.426667]\'','\'(1343.5-1389.933333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(636.8-715.5]\'','\'(159.733333-171]\'','\'(1959.533333-2033.666667]\'','\'(1372-1448.733333]\'','\'(26-27.55]\'','\'(27.75-30.4]\'',1.02
'\'(4.666667-5.583333]\'',19,'\'(3.64-4.033333]\'','\'(1343.5-1389.933333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(636.8-715.5]\'','\'(148.466667-159.733333]\'','\'(1959.533333-2033.666667]\'','\'(1295.266667-1372]\'','\'(24.45-26]\'','\'(30.4-33.05]\'',0.97
'\'(4.666667-5.583333]\'',20,'\'(3.64-4.033333]\'','\'(1343.5-1389.933333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(198.933333-248.166667]\'','\'(636.8-715.5]\'','\'(148.466667-159.733333]\'','\'(1885.4-1959.533333]\'','\'(1295.266667-1372]\'','\'(21.35-22.9]\'','\'(35.7-38.35]\'',1.01
'\'(4.666667-5.583333]\'',21,'\'(1.673333-2.066667]\'','\'(1157.766667-1204.2]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(794.2-872.9]\'','\'(114.666667-125.933333]\'','\'(1588.866667-1663]\'','\'(911.6-988.333333]\'','\'(19.8-21.35]\'','\'(41-43.65]\'',1.02
'\'(4.666667-5.583333]\'',22,'\'(1.673333-2.066667]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(51.233333-100.466667]\'','\'(794.2-872.9]\'','\'(92.133333-103.4]\'','\'(1588.866667-1663]\'','\'(834.866667-911.6]\'','\'(18.25-19.8]\'','\'(46.3-48.95]\'',1.07
'\'(4.666667-5.583333]\'',23,'\'(1.673333-2.066667]\'','\'(1250.633333-1297.066667]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1663-1737.133333]\'','\'(988.333333-1065.066667]\'','\'(18.25-19.8]\'','\'(51.6-54.25]\'',1.13
'\'(4.666667-5.583333]\'',0,'\'(1.28-1.673333]\'','\'(1157.766667-1204.2]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(51.233333-100.466667]\'','\'(794.2-872.9]\'','\'(92.133333-103.4]\'','\'(1514.733333-1588.866667]\'','\'(988.333333-1065.066667]\'','\'(18.25-19.8]\'','\'(48.95-51.6]\'',1.05
'\'(4.666667-5.583333]\'',1,'\'(0.493333-0.886667]\'','\'(1018.466667-1064.9]\'',?,'\'(4.34-6.46]\'','\'(749.2-810.233333]\'','\'(-inf-51.233333]\'','\'(872.9-951.6]\'','\'(69.6-80.866667]\'','\'(1440.6-1514.733333]\'','\'(758.133333-834.866667]\'','\'(16.7-18.25]\'','\'(51.6-54.25]\'',1.08
'\'(4.666667-5.583333]\'',2,'\'(0.493333-0.886667]\'','\'(925.6-972.033333]\'',?,'\'(2.22-4.34]\'','\'(627.133333-688.166667]\'','\'(-inf-51.233333]\'','\'(1030.3-1109]\'','\'(58.333333-69.6]\'','\'(1366.466667-1440.6]\'','\'(681.4-758.133333]\'','\'(18.25-19.8]\'','\'(51.6-54.25]\'',1.08
'\'(4.666667-5.583333]\'',3,'\'(-inf-0.493333]\'','\'(879.166667-925.6]\'',?,'\'(-inf-2.22]\'','\'(505.066667-566.1]\'',?,'\'(1187.7-inf)\'',?,'\'(1292.333333-1366.466667]\'','\'(527.933333-604.666667]\'','\'(18.25-19.8]\'','\'(43.65-46.3]\'',1.06
'\'(4.666667-5.583333]\'',4,?,'\'(832.733333-879.166667]\'',?,'\'(-inf-2.22]\'','\'(505.066667-566.1]\'','\'(-inf-51.233333]\'','\'(1187.7-inf)\'','\'(24.533333-35.8]\'','\'(1292.333333-1366.466667]\'','\'(451.2-527.933333]\'','\'(18.25-19.8]\'','\'(46.3-48.95]\'',1.07
'\'(4.666667-5.583333]\'',5,'\'(-inf-0.493333]\'','\'(879.166667-925.6]\'',?,'\'(2.22-4.34]\'','\'(566.1-627.133333]\'','\'(-inf-51.233333]\'','\'(1109-1187.7]\'','\'(24.533333-35.8]\'','\'(1292.333333-1366.466667]\'','\'(527.933333-604.666667]\'','\'(16.7-18.25]\'','\'(51.6-54.25]\'',1.06
'\'(4.666667-5.583333]\'',6,'\'(0.886667-1.28]\'','\'(1064.9-1111.333333]\'',?,'\'(6.46-8.58]\'','\'(810.233333-inf)\'','\'(51.233333-100.466667]\'','\'(872.9-951.6]\'','\'(58.333333-69.6]\'','\'(1514.733333-1588.866667]\'','\'(834.866667-911.6]\'','\'(15.15-16.7]\'','\'(56.9-59.55]\'',1.05
'\'(4.666667-5.583333]\'',7,'\'(2.46-2.853333]\'','\'(1482.8-1529.233333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(558.1-636.8]\'','\'(92.133333-103.4]\'','\'(2033.666667-2107.8]\'','\'(1372-1448.733333]\'','\'(15.15-16.7]\'','\'(54.25-56.9]\'',1.05
'\'(4.666667-5.583333]\'',8,'\'(4.82-inf)\'','\'(1761.4-1807.833333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(248.166667-297.4]\'','\'(479.4-558.1]\'','\'(137.2-148.466667]\'','\'(2478.466667-inf)\'','\'(1832.4-1909.133333]\'','\'(18.25-19.8]\'','\'(51.6-54.25]\'',1.13
'\'(4.666667-5.583333]\'',9,'\'(3.64-4.033333]\'','\'(1436.366667-1482.8]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(636.8-715.5]\'','\'(80.866667-92.133333]\'','\'(1959.533333-2033.666667]\'','\'(1525.466667-1602.2]\'','\'(19.8-21.35]\'','\'(46.3-48.95]\'',1.12
'\'(4.666667-5.583333]\'',10,'\'(2.066667-2.46]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(149.7-198.933333]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1663-1737.133333]\'','\'(1065.066667-1141.8]\'','\'(26-27.55]\'','\'(27.75-30.4]\'',1
'\'(4.666667-5.583333]\'',11,'\'(2.066667-2.46]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(715.5-794.2]\'','\'(114.666667-125.933333]\'','\'(1663-1737.133333]\'','\'(1065.066667-1141.8]\'','\'(27.55-29.1]\'','\'(25.1-27.75]\'',1
'\'(4.666667-5.583333]\'',12,'\'(1.673333-2.066667]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(794.2-872.9]\'','\'(103.4-114.666667]\'','\'(1663-1737.133333]\'','\'(834.866667-911.6]\'','\'(29.1-30.65]\'','\'(22.45-25.1]\'',0.99
'\'(4.666667-5.583333]\'',13,'\'(1.673333-2.066667]\'','\'(1204.2-1250.633333]\'',?,'\'(8.58-inf)\'','\'(810.233333-inf)\'','\'(100.466667-149.7]\'','\'(715.5-794.2]\'','\'(103.4-114.666667]\'','\'(1663-1737.133333]\'','\'(834.866667-911.6]\'','\'(30.65-32.2]\'','\'(19.8-22.45]\'',1
